Slice & Dice [$7.00] [Strategy] [Windows] [macOS] [Android],"Sat, 10 Oct 2020 18:09:03 GMT"
Mindustry [Free] [Strategy] [Windows] [macOS] [Linux] [Android],"Sun, 30 Apr 2017 21:40:43 GMT"
Unciv [Free] [Strategy] [Windows] [Linux],"Mon, 25 Nov 2019 11:14:41 GMT"
Forest's Secret [Free] [Adventure] [Windows] [macOS] [Linux],"Sun, 12 Aug 2018 12:44:06 GMT"
Feud [Free] [Strategy] [Windows] [macOS] [Linux] [Android],"Sat, 26 Jan 2019 23:18:38 GMT"
MewnBase [$9.99] [Simulation] [Windows] [macOS] [Linux],"Mon, 18 Jan 2016 02:48:24 GMT"
Mindustry Classic [Free] [Strategy] [Windows] [Linux] [Android],"Wed, 24 Jul 2019 00:26:01 GMT"
Age of Conquest IV [Free] [Strategy] [Windows] [macOS] [Linux],"Sun, 14 Feb 2016 16:51:23 GMT"
Hair Dash [Free] [Action] [Windows] [macOS] [Linux],"Thu, 16 May 2019 23:05:56 GMT"
Diskophoros [Free] [Fighting] [Windows],"Fri, 01 Nov 2019 21:54:19 GMT"
Wildermyth [$24.99] [Role Playing] [Windows] [macOS] [Linux],"Fri, 22 Feb 2019 19:02:12 GMT"
Pixurvival [Free] [Survival] [Windows] [macOS] [Linux],"Tue, 31 Dec 2019 17:45:01 GMT"
lurkers.io [Free] [Survival],"Sat, 02 Jun 2018 02:52:05 GMT"
King under the Mountain [$24.99] [Strategy] [Windows] [macOS] [Linux],"Thu, 16 Feb 2017 15:34:55 GMT"
Project Home [Free] [Shooter],"Sun, 25 Jun 2017 00:58:47 GMT"
Roto Force [Free] [Action] [Windows] [macOS] [Linux],"Mon, 10 Oct 2016 04:39:45 GMT"
Dungeon Mercenary [Free] [Role Playing] [Windows] [Linux],"Thu, 21 Jan 2016 14:32:10 GMT"
Duel [Free] [Action],"Mon, 24 Apr 2017 03:57:32 GMT"
Meganoid(2017) [$8.99] [Platformer] [Windows] [macOS] [Linux],"Tue, 07 Mar 2017 07:43:00 GMT"
Office Management 101 [$19.99] [Simulation] [Windows] [Linux],"Mon, 31 Oct 2016 18:22:50 GMT"
Intra-System: Trust Issues [$3.00] [Interactive Fiction] [Windows] [macOS] [Linux],"Wed, 26 Apr 2017 02:23:02 GMT"
Ashworld [$13.99] [Action] [Windows] [macOS] [Linux],"Sun, 21 May 2017 14:51:43 GMT"
Galaxy Garden (demo) [Free] [Shooter],"Wed, 27 Sep 2017 05:43:52 GMT"
Sir Questionnaire [$3.99] [Role Playing] [Windows] [macOS] [Linux],"Tue, 03 Apr 2018 07:45:18 GMT"
Aloisius [Free] [Strategy] [Windows] [macOS] [Linux],"Fri, 20 Apr 2018 19:39:45 GMT"
Inventorious [Free] [Puzzle],"Tue, 14 Aug 2018 07:40:46 GMT"
Heroes of Loot [$3.99] [Role Playing] [Windows] [macOS] [Linux],"Tue, 21 Jan 2014 22:10:41 GMT"
Space Grunts [$12.99] [Strategy] [Windows] [macOS] [Linux],"Tue, 19 Apr 2016 18:21:11 GMT"
Idle Island [Free] [Simulation] [Windows] [macOS] [Linux],"Fri, 10 Apr 2020 17:37:28 GMT"
When It Hits the Fan [$10.00] [Action] [Windows] [macOS] [Linux],"Fri, 08 May 2015 19:56:17 GMT"
SFD [$7.99] [Strategy] [Windows] [macOS] [Linux],"Tue, 29 May 2018 05:30:27 GMT"
Lovecraft Quest - A Comix Game [$2.99] [Adventure] [Windows] [macOS] [Linux],"Sat, 01 Sep 2018 14:48:15 GMT"
Necromarket [Free] [Simulation],"Tue, 30 Apr 2019 10:53:37 GMT"
Kakele MMORPG [Free] [Role Playing] [Windows] [macOS] [Linux] [Android],"Sat, 08 Feb 2020 23:07:07 GMT"
Groundskeeper 2 [$4.99] [Action] [Windows] [macOS] [Linux],"Wed, 11 Jul 2018 14:08:26 GMT"
Greedy Miners [Free] [Platformer] [Windows] [macOS] [Linux],"Mon, 18 Apr 2016 21:59:20 GMT"
Snake [Free] [Other] [Windows] [macOS] [Linux] [Android],"Wed, 10 May 2017 14:07:42 GMT"
Meow Sushi Night [Free] [Platformer],"Mon, 08 Jun 2015 00:15:01 GMT"
Gravity Box [Free] [Puzzle],"Sun, 02 Sep 2018 13:08:24 GMT"
Gunslugs [$3.99] [Action] [Windows] [macOS] [Linux],"Mon, 20 Apr 2015 13:31:06 GMT"
Rogue vs Evil [Free] [Role Playing] [Windows] [macOS] [Linux] [Android],"Wed, 21 Nov 2018 14:17:45 GMT"
Kingdom Cards [Free] [Role Playing],"Fri, 06 Mar 2020 17:17:59 GMT"
Pixel Wheels [Free] [Racing] [Windows] [macOS] [Linux] [Android],"Mon, 20 Jul 2020 17:41:56 GMT"
Gearend [$5.00] [Action] [Windows] [Linux],"Fri, 14 Jul 2017 11:13:42 GMT"
Ultra Type-R [$1.99] [Platformer] [Windows],"Mon, 15 Feb 2016 00:44:22 GMT"
Noir Syndrome [$4.99] [Adventure] [Windows] [macOS] [Linux] [Android],"Fri, 09 Aug 2019 21:18:01 GMT"
Retro Commander [Free] [Strategy] [Windows] [macOS] [Linux],"Fri, 28 Sep 2018 13:02:09 GMT"
MakerKing : Make your own levels! [Free] [Platformer] [Windows] [macOS] [Linux],"Sun, 18 Mar 2018 13:05:32 GMT"
Wobble [Free] [Platformer] [Windows] [macOS] [Linux],"Sun, 02 Jul 2017 21:38:13 GMT"
Demise of Nations [Free] [Strategy] [Windows] [macOS] [Linux],"Thu, 27 Jul 2017 14:24:25 GMT"
Perspectrum [$4.99] [Platformer] [Windows] [macOS] [Linux],"Wed, 20 Jun 2018 04:54:26 GMT"
Neoteria [$2.99] [Shooter] [Windows] [macOS] [Linux],"Tue, 03 Jul 2018 09:25:51 GMT"
Pocketman Teal [Free] [Role Playing] [Windows] [macOS] [Linux],"Sun, 18 Jun 2017 19:25:05 GMT"
Thug Racer! [Free] [Action],"Thu, 30 Jul 2015 02:46:38 GMT"
Super Fun Action Chess [Free] [Action] [Windows] [macOS] [Linux],"Sat, 21 Apr 2018 04:57:09 GMT"
Gunslugs 2 [$8.99] [Action] [Windows] [macOS] [Linux],"Tue, 19 Apr 2016 18:08:32 GMT"
Summoner's Handbook [Free] [Action],"Sat, 09 Mar 2019 01:53:11 GMT"
Tims Insane Meta Universe てぃむ [Free] [Simulation] [Windows] [macOS] [Linux],"Sun, 05 Jan 2020 16:39:45 GMT"
Zero Memory [$1.56] [Puzzle] [Windows] [macOS] [Linux],"Sat, 22 Nov 2014 20:48:39 GMT"
Almost a Tinkerer [Free] [Simulation] [Windows] [macOS] [Linux],"Wed, 01 Sep 2021 13:18:10 GMT"
Shape Tycoon [Free] [Windows] [macOS] [Linux],"Sun, 17 Apr 2016 05:41:38 GMT"
Space Trader [Free] [Simulation],"Tue, 05 Mar 2019 19:47:35 GMT"
Pizza Plane [Free] [Action],"Sun, 29 Dec 2019 00:48:47 GMT"
Heroes of Loot 2 [$9.99] [Role Playing] [Windows] [macOS] [Linux],"Tue, 19 Apr 2016 18:38:37 GMT"
Situation Normal: F*ked Up Beyond All Reconition [Free] [Action] [Windows] [Linux],"Wed, 02 Mar 2022 19:26:24 GMT"
Trahere [Free] [Windows] [macOS] [Linux],"Tue, 04 Dec 2018 01:23:12 GMT"
Caen [Free] [Puzzle] [Windows] [macOS] [Linux],"Sat, 10 Feb 2018 17:51:45 GMT"
Gunslugs 3:Rogue Tactics [$14.99] [Action] [Windows] [macOS] [Linux],"Fri, 13 Jul 2018 08:14:28 GMT"
Stardash [$2.99] [Platformer] [Windows] [macOS] [Linux],"Sat, 23 Jun 2018 20:00:38 GMT"
C:\raft [$9.99] [Role Playing] [Windows] [macOS] [Linux],"Thu, 31 Jul 2014 17:48:53 GMT"
Pirates Overboard [Free] [Action],"Mon, 03 Dec 2018 18:25:11 GMT"
Meganoid: Grandpa's Chronicles [$2.99] [Platformer] [Windows] [macOS] [Linux],"Thu, 05 Jul 2018 11:37:57 GMT"
Ancient Terror: Lovecraftian Strategy Board RPG [4.99€] [Strategy] [Windows],"Mon, 17 Feb 2020 08:46:59 GMT"
Solarstar [$2.00] [Other] [Windows] [macOS] [Linux],"Mon, 26 Jan 2015 23:27:05 GMT"
Summoning Pixel Dungeon [Free] [Role Playing] [Windows] [macOS] [Linux] [Android],"Thu, 31 Oct 2019 12:23:34 GMT"
Infinitris [Free] [Simulation] [Windows] [macOS] [Linux],"Thu, 12 Mar 2015 16:59:21 GMT"
Follower Battle [Free] [Role Playing] [macOS] [Android],"Wed, 12 Feb 2020 09:05:05 GMT"
Hadal Calm [Free] [Action] [Windows] [macOS] [Linux],"Fri, 03 Jul 2020 15:39:24 GMT"
Vita Magicae [Free] [Windows] [macOS] [Linux],"Mon, 13 Aug 2018 21:46:11 GMT"
RPS Tactics [Free] [Strategy] [Windows] [macOS] [Linux],"Mon, 10 Oct 2016 00:34:40 GMT"
Biosphere [Free] [Simulation] [Windows] [macOS] [Linux] [Android],"Sun, 27 Dec 2015 12:24:15 GMT"
GalaxSeed [$1.00] [Action] [Windows] [macOS] [Linux],"Sun, 12 Jun 2016 22:11:49 GMT"
Bread [Free] [Simulation] [Windows] [Linux],"Sat, 24 Sep 2022 16:15:21 GMT"
Smash It [Free] [Action] [Windows] [macOS] [Linux],"Tue, 20 Sep 2016 17:46:07 GMT"
Darker Than Space [Free] [Platformer] [Windows] [macOS] [Linux],"Sun, 17 Jan 2016 18:07:15 GMT"
Raindancer [$1.00] [Action] [Windows] [macOS],"Wed, 27 Nov 2019 01:48:31 GMT"
Mushroom Attack [Free] [Survival] [Windows] [macOS] [Linux],"Mon, 26 Sep 2022 10:37:38 GMT"
